도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
다섯콩작은도서관,서울특별시,은평구,작은도서관,"월요일,     법정공휴일",11:00,19:00,11:00,17:00,11:00,17:00,42,12160,10,58,5,15,서오릉로4길 10. 성암비전센터 2층,,02-384-1184,,,http://www.sach.or.kr/page-town.phpMcode16,,,2020-07-01,3110000,서울특별시 은평구
어린이도서관 동네북,서울특별시,은평구,작은도서관,일요일,13:00,18:00,11:00,17:00,11:00,16:00,50,13282,2,200,5,14,진흥로 174?(녹번동) 양광비젼센터2층?,,,,,http://cafe.naver.com/ehdspqnr2013,,,2020-07-01,3110000,서울특별시 은평구
Book Bridge 작은 도서관,서울특별시,은평구,작은도서관,"매주 월, 수",10:00,15:00,00:00,00:00,00:00,00:00,7,5500,2,19,2,14,서울시 은평구 통일로 590 B동 204호,,,,,,37.5995718600,126.9368368000,2020-07-01,3110000,서울특별시 은평구
북한산 힐스테이트  1차 솔숲작은도서관,서울특별시,은평구,작은도서관,일요일 법정공휴일,10:00,18:00,10:00,12:00,14:00,18:00,36,5760,3,0,2,7,불광로2길 33 1110동 지하 주차장1층,,02-356-4620,,,,,,2020-07-01,3110000,서울특별시 은평구
은광교회도서관,서울특별시,은평구,작은도서관,"월요일,     법정공휴일",10:00,18:00,10:00,16:00,09:00,15:00,50,9408,4,0,2,7,통일로68길 11,,02-383-2116,,,,37.6126562000,126.9297900000,2020-07-01,3110000,서울특별시 은평구
바다의 별 작은도서관,서울특별시,은평구,작은도서관,월요일,09:00,22:00,09:00,22:00,06:00,22:00,30,7000,1,0,2,14,통일로 786(불광동성당),,02-355-0545,,,,37.6149289600,126.9262507000,2020-07-01,3110000,서울특별시 은평구
비전뜰 도서관,서울특별시,은평구,작은도서관,월요일법정공휴일,14:00,17:00,12:00,17:00,09:00,15:00,18,4245,1,0,3,14,통일로92길 6,,02-388-4741,,,,37.6259611400,126.9208331000,2020-07-01,3110000,서울특별시 은평구
다니엘 작은도서관,서울특별시,은평구,작은도서관,"토,일요일       법정공휴일",13:00,17:00,00:00,00:00,00:00,00:00,23,4114,5,24,2,7,연서로41길 13-3 부림교회,,02-385-0664,,,,37.6257836900,126.9275146000,2020-07-01,3110000,서울특별시 은평구
천주교연신내성당 북카페,서울특별시,은평구,작은도서관,월요일,09:00,20:00,09:00,20:00,08:00,19:00,6,1300,0,4,0,0,연서로43길 6,,02-353-6307,,,https://library.ep.go.kr/usweb/USMN000.asp?B0A5C7F61B5BFB9AEC8ADC0C7C1FD,37.6271504500,126.9286854000,2020-07-01,3110000,서울특별시 은평구
꿈담은 작은 도서관,서울특별시,은평구,작은도서관,일요일,13:00,19:00,13:00,19:00,00:00,00:00,12,2000,0,0,10,5,은평구 연서로41길 4,,,,,,37.6256602300,126.9285396000,2020-07-01,3110000,서울특별시 은평구
갈현1동 고리마루작은도서관 (갈현1동 주민센터),서울특별시,은평구,작은도서관,"토,일요일 법정공휴일",09:00,18:00,00:00,00:00,00:00,00:00,20,4300,0,0,3,7,갈현로 301 (갈현동),,02-351-5116,,,https://library.ep.go.kr/usweb/USMN000.asp?C8BFB0E6B0F1B8B6C0BBB9AEB0ED,37.6235938700,126.9167700000,2020-07-01,3110000,서울특별시 은평구
정임도서관,서울특별시,은평구,작은도서관,월요일 법정공휴일,10:00,14:00,10:00,14:00,09:00,14:00,40,6042,0,0,2,14,통일로 951 서광교회 (갈현동),,02-387-0691,,,,37.6278187800,126.9192927000,2020-07-01,3110000,서울특별시 은평구
효경골 마을문고 (갈현2동 주민센터),서울특별시,은평구,작은도서관,"토,일요일 법정공휴일",09:00,18:00,00:00,00:00,00:00,00:00,20,6996,0,0,3,14,연서로27길 31-6 (갈현동),,02-351-5126,,,,37.6185004600,126.9158787000,2020-07-01,3110000,서울특별시 은평구
